//=== PetGlow.txt :: mounts re-mapped BY MODEL from mudream (Flarethorn/Mount38 fix); legacy/custom preserved ===
6942	0	70	90	90	90
6912	0	70	0	21	102
6912	1	70	120	120	120
6912	2	66	94	94	153
6913	0	70	102	21	0
6913	1	70	120	120	120
6913	2	66	153	94	94
6916	0	70	90	90	90
6917	0	70	90	90	90
6914	3	70	170	160	147
6918	0	70	90	90	90
6919	0	70	90	90	90
6921	0	70	90	90	90
6927	0	70	110	110	120
6923	0	70	90	90	90
6939	0	70	90	90	90
6924	0	70	90	90	90
6924	1	70	90	90	90
6925	0	70	90	90	90
6925	1	70	90	90	90
6940	0	70	90	90	90
6926	0	70	110	110	110
6922	0	70	90	90	90
6944	0	70	90	90	90
6941	0	70	90	90	90
6956	0	70	110	110	110
6957	0	70	110	110	110
6958	0	70	110	110	120
6963	0	70	30	30	30
6959	0	70	100	100	100
6960	0	70	100	100	100
6965	0	2	500	500	500
6928	0	70	100	100	120
6929	0	70	100	100	100
6933	0	70	90	90	90
6934	0	70	90	90	90
6935	0	70	90	90	90
6937	0	70	90	90	90
6943	0	70	90	90	90
6945	0	70	90	90	90
6946	0	70	90	90	90
6946	1	70	90	90	90
6947	0	70	90	90	90
6948	0	70	90	90	90
6950	0	70	90	90	90
6951	0	70	110	110	110
6953	0	70	90	90	90
6953	1	70	90	90	90
6954	0	70	120	120	60
6955	0	70	110	110	110
6938	0	70	90	90	90
6961	0	70	90	90	90
6962	0	70	90	90	90
end
