//	IncDmg = ( IncDmgA + (ItemLVL * IncDmgB) )-100
//		55 =  ( X + 30 ) - 100 ( X = 125)
//		64 =  ( X + 30 ) - 100 ( X = 134)
//		69 =  ( X + 30 ) - 100 ( X = 139)
//		74 =  ( X + 30 ) - 100 ( X = 144)
//	DecDmg = 100 - ( DecDmgA - (ItemLVL * DecDmgB) )
//		55 = 100 - ( Y - 30) (Y =  75)
//		64 = 100 - ( Y - 30) (Y =  66)
//		69 = 100 - ( Y - 30) (Y = 61)
//		74 = 100 - ( Y - 30) (Y = 56)
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
//Wing 2.5
1		6495	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing281"       
2		6496	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing282"       
3		6497	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		0			"Wing283"       

//2.5 DL, RF                                                                                                                                                                                        
6		6498	4		120		2		75		2		80		4		85		1		83		4		106		4		108		4		107		4		111		4		1			"Wing280"	
//Wing 4                                                                                                                                                                                            
7		6499	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing401"		
8		6500	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing402"		
9		6501	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing403"		
10		6502	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing404"		
11		6503	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		1			"Wing405"		
12		6504	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		0			"Wing406"		
13		6505	4		130		2		71		2		80		4		85		1		83		4		106		8		108		8		107		8		111		8		1			"Wing407"		


//Wing 5
14		6506	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing54"
42		6507	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing55"
16		6508	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing53"
17		6509	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		0			"Wing52"
18		6510	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		1			"Wing505"
19		6511	5		139		2		61		2		80		4		85		1		83		4		106		9		108		9		107		9		111		9		1			"Wing507"
//=== Items-pack merge ===
4		6428	5		145		1		85		2	    80      4       85      1       83      4       108     5       109     5       110     5       111     5		0			"ConquerorWing"
5		6429	5		145		1		85		2	    80      4       85      1       83      4       108     5       109     5       110     5       111     5		0			"angel_devil_wing"

//=== 22 Cosmetic Skin Wings ===
20	6512	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Abbadon_wing"
21	6513	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Arcanor_wing"
22	6514	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Aurion_wing"
23	6515	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Blackray_wing"
24	6516	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Bloodbound_wing"
25	6517	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Carnival_wing"
26	6518	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Darkness_wing"
27	6519	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Death_wing"
28	6520	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Devil_majestyc_wing"
29	6521	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Elegance_wing"
30	6522	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Fallen_angel_wing"
43	6523	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Hallow_wing"
32	6524	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Hellshade_wing"
33	6525	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Icefrost_wing"
34	6526	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Magma_wing"
35	6527	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Nightfire_wing"
36	6528	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Santablue_wing"
37	6529	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Santagreen_wing"
38	6530	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"Wraith_wing"
39	6531	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"angel_wing"
40	6532	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"devil_wing"
41	6533	5	139	2	61	2	80	4	85	1	83	4	106	9	108	9	107	9	111	9	0		"elf_wing"
	44	6412	81	155	1	57	2	80	4	85	1	83	4	108	5	109	5	110	5	111	5	0	"Wing401"         //Wizard
	45	6413	81	155	1	57	2	80	4	85	1	83	4	108	5	109	5	110	5	111	5	0	"Wing402"         //Knight
	46	6414	81	155	1	57	2	80	4	85	1	83	4	108	5	109	5	110	5	111	5	0	"Wing403"         //Elf
	47	6415	81	155	1	57	2	80	4	85	1	83	4	108	5	109	5	110	5	111	5	0	"Wing404"         //Magic Gladiator
	48	6416	81	155	1	63	2	80	4	85	1	83	4	108	5	109	5	110	5	111	5	1	"Wing405"         //Dark Lord
